Question,Answers,Comment,Instructions,Render as
立春（春: 二月四日ごろ | 2月4日ごろ）,りっしゅん,,読み方をご入力ください,Text
雨水（春: 二月十九日ごろ | 2月19日ごろ）,うすい,,読み方をご入力ください,Text
啓蟄（春: 三月六日ごろ | 3月6日ごろ）,けいちつ,,読み方をご入力ください,Text
春分（春: 三月二十一日ごろ | 3月21日ごろ）,しゅんぶん,,読み方をご入力ください,Text
清明（春: 四月五日ごろ | 4月5日ごろ）,せいめい,,読み方をご入力ください,Text
穀雨（春: 四月二十日ごろ | 4月20日ごろ）,こくう,,読み方をご入力ください,Text
立夏（夏: 五月六日ごろ | 5月6日ごろ）,りっか,,読み方をご入力ください,Text
小満（夏: 五月二十一日ごろ | 5月21日ごろ）,しょうまん,,読み方をご入力ください,Text
芒種（夏: 六月六日ごろ | 6月6日ごろ）,ぼうしゅ,,読み方をご入力ください,Text
夏至（夏: 六月二十二日ごろ | 6月22日ごろ）,げし,,読み方をご入力ください,Text
小暑（夏: 七月七日ごろ | 7月7日ごろ）,しょうしょ,,読み方をご入力ください,Text
大暑（夏: 七月二十三日ごろ | 7月23日ごろ）,たいしょ,,読み方をご入力ください,Text
立秋（秋: 八月八日ごろ | 8月8日ごろ）,りっしゅう,,読み方をご入力ください,Text
処暑（秋: 八月二十三日ごろ | 8月23日ごろ）,しょしょ,,読み方をご入力ください,Text
白露（秋: 九月八日ごろ | 9月8日ごろ）,はくろ,,読み方をご入力ください,Text
秋分（秋: 九月二十三日ごろ | 9月23日ごろ）,しゅうぶん,,読み方をご入力ください,Text
寒露（秋: 十月八日ごろ | 10月8日ごろ）,かんろ,,読み方をご入力ください,Text
霜降（秋: 十月二十三日ごろ | 10月23日ごろ）,そうこう,,読み方をご入力ください,Text
立冬（冬: 十一月八日ごろ | 11月8日ごろ）,りっとう,,読み方をご入力ください,Text
小雪（冬: 十一月二十二日ごろ | 11月22日ごろ）,しょうせつ,,読み方をご入力ください,Text
大雪（冬: 十二月七日ごろ | 12月7日ごろ）,たいせつ,,読み方をご入力ください,Text
冬至（冬: 十二月二十二日ごろ | 12月22日ごろ）,とうじ,,読み方をご入力ください,Text
小寒（冬: 一月六日ごろ | 1月6日ごろ）,しょうかん,,読み方をご入力ください,Text
大寒（冬: 一月二十日ごろ | 1月20日ごろ）,だいかん,,読み方をご入力ください,Text
