Question,Answers,Comment,Instructions,Render as
未来が__オビヤカサレル__。,脅,脅かされる,送り仮名,Text
スーツの縫い目が__ホコロビル__。,綻,綻びる,送り仮名,Text
人の失敗を__アザケル__。,嘲,嘲る,送り仮名,Text
忍耐力を__ツチカウ__。,培,培う,送り仮名,Text
山頂から景色を__ナガメル__。,眺,眺める,送り仮名,Text
利益を__ムサボル__。,貪,貪る,送り仮名,Text
交流会への参加を__ウナガス__。,促,促す,送り仮名,Text
一審、二審の判決を__クツガエス__。,覆,覆す,送り仮名,Text
川で__オボレル__。,溺,溺れる,送り仮名,Text
人の目を盗んで__ナマケル__。,怠,怠ける,送り仮名,Text
相手を__ノノシル__。,罵,罵る,送り仮名,Text
義理人情が__スタレル__。,廃,廃れる,送り仮名,Text
自分の子供のように__イツクシム__。,慈,慈しむ,送り仮名,Text
水も__シタタル__いい男。,滴,滴る,送り仮名,Text
感__キワマリ__号泣する。,極,極まり,送り仮名,Text
誘いを__コトワル__。,断,断る,送り仮名,Text
積立金で旅費を__マカナウ__。,賄,賄う,送り仮名,Text
一生懸命頑張った生徒たちを__ホメル__。,褒,褒める,送り仮名,Text
使いやすいように工夫を__ホドコス__。,施,施す,送り仮名,Text
陰謀を__クワダテル__。,企,企てる,送り仮名,Text
出世した友人を__ウラヤム__。,羨,羨む,送り仮名,Text
優勝を__ネラウ__。,狙,狙う,送り仮名,Text
話は百年前に__サカノボル__。,遡,遡る,送り仮名,Text
__サワヤカ__な青年。,爽,爽やか,送り仮名,Text
食事量を減らして__ヤセル__。,痩,痩せる,送り仮名,Text
作業には危険を__トモナウ__。,伴,伴う,送り仮名,Text
仕方がないと__アキラメル__。,諦,諦める,送り仮名,Text
競馬にお金を__カケル__。,賭,賭ける,送り仮名,Text
同僚の成功を__ネタム__。,妬,妬む,送り仮名,Text
日の光を__サエギル__。,遮,遮る,送り仮名,Text
鍋に蓋をしてよく__ムラス__。,蒸,蒸らす,送り仮名,Text
ペンキが__ハゲル__。,剥,剥げる,送り仮名,Text
風景画を__カク__。,描,描く,送り仮名,Text
__サゲスム__ような目で見る。,蔑,蔑む,送り仮名,Text
傷が__イエル__。,癒,癒える,送り仮名,Text
神社に__モウデル__。,詣,詣でる,送り仮名,Text
心が__ナエル__,萎,萎える,送り仮名,Text
トイレが__クサイ__。,臭,臭い,送り仮名,Text
糸を__ツムグ__。,紡,紡ぐ,送り仮名,Text
__オオセ__のとおりに致します。,仰,仰せ,送り仮名,Text
真相をやみに__ホウムル__。,葬,葬る,送り仮名,Text
__ツヤヤカ__な衣装。,艶,艶やか,送り仮名,Text
返事を__シブル__。,渋,渋る,送り仮名,Text
生徒を__サトス__。,諭,諭す,送り仮名,Text
話が__ハズム__。,弾,弾む,送り仮名,Text
__ナツカシイ__写真を見る。,懐,懐かしい,送り仮名,Text
箱が__ツブレル__。,潰,潰れる,送り仮名,Text
罪を__ツグナウ__。,償,償う,送り仮名,Text
靴を__ハク__。,履,履く,送り仮名,Text
__イサギヨク__負けを認めた。,潔,潔く,送り仮名,Text
速さを__キソウ__。,競,競う,送り仮名,Text
臭いを__カグ__。,嗅,嗅ぐ,送り仮名,Text
勘違いも__ハナハダシイ__。,甚,甚だしい,送り仮名,Text
以前の状態に__モドス__。,戻,戻す,送り仮名,Text
友人を__ナグサメル__。,慰,慰める,送り仮名,Text
通路を__フサグ__。,塞,塞ぐ,送り仮名,Text
サッカーボールを__ケル__。,蹴,蹴る,送り仮名,Text
流行に__ウトイ__。,疎,疎い,送り仮名,Text
状況を__フマエタ__上で判断する。,踏,踏まえる,送り仮名,Text
部下を__シカル__。,叱,叱る,送り仮名,Text
ヒーローに__アコガレル__。,憧,憧れる,送り仮名,Text
事件の犯人を__サガス__。,捜,捜す,送り仮名,Text
痛みを__ヤワラゲル__。,和,和らげる,送り仮名,Text
号泣して目が__ハレル__。,腫,腫れる,送り仮名,Text
汗を__ヌグウ__。,拭,拭う,送り仮名,Text
花瓶に花を__サス__。,挿,挿す,送り仮名,Text
敵を__アザムク__。,欺,欺く,送り仮名,Text
__オクスル__ことなく戦いを挑む。,臆,臆する,送り仮名,Text
お金を__カセグ__。,稼,稼ぐ,送り仮名,Text
死者を__トムラウ__。,弔,弔う,送り仮名,Text
予想が__マッタク__違った。,全,全く,送り仮名,Text
__ワズカ__な材料しか残っていない。,僅,僅か,送り仮名,Text
喉が__カワク__。,渇,渇く,送り仮名,Text
戦いを__イドム__。,挑,挑む,送り仮名,Text
悲壮感が__タダヨウ__。,漂,漂う,送り仮名,Text
重要な役割を__ニナウ__。,担,担う,送り仮名,Text
身分を__イツワル__。,偽,偽る,送り仮名,Text
海で魚を__ツル__。,釣,釣る,送り仮名,Text
__モッパラ__研究に従事する。,専,専ら,送り仮名,Text
物議を__カモス__。,醸,醸す,送り仮名,Text
要求を__コバム__。,拒,拒む,送り仮名,Text
悪を__コラシメル__。,懲,懲らしめる,送り仮名,Text
バイトを__ヤトウ__。,雇,雇う,送り仮名,Text
機械を__スエル__。,据,据える,送り仮名,Text
__ウヤウヤシイ__態度。,恭,恭しい,送り仮名,Text
苦言を__テイスル__。,呈,呈する,送り仮名,Text
人形を__アヤツル__。,操,操る,送り仮名,Text
人を恐怖に__オトシイレル__。,陥,陥れる,送り仮名,Text
妥協を__キラウ__。,嫌,嫌う,送り仮名,Text
懐に短刀を__シノバセル__。,忍,忍ばせる,送り仮名,Text
苦戦を__シイラレル__。,強,強いる,送り仮名,Text
悲惨で__ミニクイ__争い。,醜,醜い,送り仮名,Text
石を細かく__クダク__。,砕,砕く,送り仮名,Text
敵を__アナドル__。,侮,侮る,送り仮名,Text
横から口を__ハサム__。,挟,挟む,送り仮名,Text
影響を与えている事は__イナメナイ__。,否,否めない,送り仮名,Text
__シイタゲ__られている人を救済する。,虐,虐げ,送り仮名,Text
他人を__ソソノカス__。,唆,唆す,送り仮名,Text
強い__イキドオリ__を覚える。,憤,憤り,送り仮名,Text
__オロカナ__行動。,愚,愚かな,送り仮名,Text
時間が__マタタク__間に過ぎてしまった。,瞬,瞬く,送り仮名,Text
ケーブルが__カラマッテ__しまった。,絡,絡まって,送り仮名,Text
身を__フセテ__敵をやりすごす。,伏,伏せて,送り仮名,Text
客が__ホッスル__サービスを自動的に提示する。,欲,欲っする,送り仮名,Text
彼は__ミダラナ__生活から足を洗った。,淫,淫らな,送り仮名,Text
見た目が醜く__ケガラワシイ__。,汚,汚らわしい,送り仮名,Text
__ナメラカナ__手触りの布だ。,滑,滑らかな,送り仮名,Text
同じものばかり食べても__アキル__。,飽,飽きる,送り仮名,Text
魚や肉に小麦粉をまぶして__アゲル__。,揚,揚げる,送り仮名,Text
出版社__アテ__に一通のメールが届いた。,宛,宛て,送り仮名,Text
彼は冷静に無関心を__ヨソオウ__。,装,装う,送り仮名,Text
自分自身を__イヤシメル__必要はない。,卑,卑しめる,送り仮名,Text
古代文明が__ホロビタ__原因は判明していない。,滅,滅びた,送り仮名,Text
君のしたことは家名を__ハズカシメル__行為だ。,辱,辱める,送り仮名,Text
馬上の敵を__キル__ことのできる大きな刀だ。,斬,斬る,送り仮名,Text
遠くへ逃げて危険から__マヌガレル__。,免,免れる,送り仮名,Text
果実は青すぎても、__ウレ__過ぎても美味しくない。,熟,熟れ,送り仮名,Text
心して戦地に__オモムク__。,赴,赴く,送り仮名,Text
監視カメラが犯人の姿を__トラエタ__。,捉,捉えた,送り仮名,Text
追い詰められて進退__キワマル__。,窮,窮まる,送り仮名,Text
とても美しい音色を__カナデル__。,奏,奏でる,送り仮名,Text
彼は武芸に__ヒイデテ__いる。,秀,秀でて,送り仮名,Text
隣国の経済成長が__イチジルシイ__。,著,著しい,送り仮名,Text
