Question,Answers,Comment,Instructions,Render as
対義・虚偽,事実,,対義,Text
対義・切開,縫合,,対義,Text
対義・柔弱,剛健,,対義,Text
対義・撤回,提出,,対義,Text
対義・首領,配下,,対義,Text
対義・地獄,極楽,,対義,Text
対義・多忙,閑散,,対義,Text
対義・抽象,具体,,対義,Text
対義・豪華,質素,,対義,Text
対義・繊細,大胆,,対義,Text
対義・喪失,獲得,,対義,Text
対義・性急,悠長,,対義,Text
対義・勃興,衰亡,,対義,Text
対義・消耗,蓄積,,対義,Text
対義・威圧,懐柔,,対義,Text
対義・逸材,凡才,,対義,Text
対義・進撃,退却,,対義,Text
対義・高慢,謙虚,,対義,Text
対義・甚大,軽微,,対義,Text
対義・実像,虚像,,対義,Text
対義・必然,偶然,,対義,Text
対義・貫徹,挫折,,対義,Text
対義・反抗,恭順,,対義,Text
対義・明朗,陰鬱,,対義,Text
対義・愛好,嫌悪,,対義,Text
対義・自立,従属,,対義,Text
対義・治癒,発病,,対義,Text
対義・穏健,過激,,対義,Text
対義・給水,断水,,対義,Text
対義・遵守,違反,,対義,Text
対義・尊敬,軽侮,,対義,Text
対義・粗略,丁重,,対義,Text
対義・簡略,詳細,,対義,Text
対義・簡潔,冗漫,,対義,Text
対義・真実,虚偽,,対義,Text
対義・哀悼,慶賀,,対義,Text
対義・所詮,結局,,対義,Text
対義・拒否,受諾,,対義,Text
対義・粗大,細密,,対義,Text
対義・濃艶,枯淡,,対義,Text
対義・老巧,稚拙,,対義,Text
対義・妥結,決裂,,対義,Text
対義・恥辱,名誉,,対義,Text
対義・閑暇,多忙,,対義,Text
対義・罪過,功績,,対義,Text
対義・濃縮,希釈,,対義,Text
対義・剝奪,付与,,対義,Text
対義・強固,薄弱,,対義,Text
対義・濃厚,淡白,,対義,Text
対義・凡人,傑物,,対義,Text
対義・頒布,回収,,対義,Text
対義・堕落,更生,,対義,Text
対義・肥沃,不毛,,対義,Text
対義・一致,相違,,対義,Text
対義・質疑,応答,,対義,Text
対義・落胆,発奮,,対義,Text
対義・充足,欠乏,,対義,Text
対義・削除,添加,,対義,Text
対義・阻害,助長,,対義,Text
対義・特殊,普遍,,対義,Text
対義・低俗,高雅,,対義,Text
対義・倹約,浪費,,対義,Text
対義・諮問,答申,,対義,Text
対義・派遣,召還,,対義,Text
対義・騰貴,下落,,対義,Text
対義・寡黙,多弁,,対義,Text
対義・屈曲,伸張,,対義,Text
対義・狭小,遠大,,対義,Text
対義・削減,追加,,対義,Text
対義・浪費,節約,,対義,Text
対義・協力,妨害,,対義,Text
対義・私用,公務,,対義,Text
対義・採用,解雇,,対義,Text
対義・鮮明,漠然,,対義,Text
対義・欠乏,豊富,,対義,Text
対義・卑下,自慢,,対義,Text
対義・温暖,寒冷,,対義,Text
対義・高尚,低俗,,対義,Text
対義・一斉,個別,,対義,Text
対義・浅見,卓見,,対義,Text
対義・隆起,埋没,,対義,Text
対義・国産,舶来,,対義,Text
対義・攻撃,防御,,対義,Text
対義・解放,束縛,,対義,Text
対義・暗愚,賢明,,対義,Text
対義・凡庸,偉大,,対義,Text
対義・謙虚,横柄,,対義,Text
対義・秘匿,暴露,,対義,Text
対義・略述,詳述,,対義,Text
対義・雑種,純系,,対義,Text
対義・融解,凝固,,対義,Text
対義・筆算,暗算,,対義,Text
対義・能筆,悪筆,,対義,Text
対義・逮捕,釈放,,対義,Text
対義・湿潤,乾燥,,対義,Text
対義・鎮静,興奮,,対義,Text
対義・厳寒,猛暑,,対義,Text
対義・撤去,設置,,対義,Text
対義・直喩,隠喩,,対義,Text
対義・微細,巨大,,対義,Text
対義・枯渇,潤沢,,対義,Text
対義・丁寧,粗略,,対義,Text
対義・平野,山岳,,対義,Text
対義・好転,悪化,,対義,Text
対義・薄暮,払暁,,対義,Text
対義・零落,栄達,,対義,Text
対義・拘束,解放,,対義,Text
対義・模倣,独創,,対義,Text
対義・秩序,混乱,,対義,Text
対義・中庸,極端,,対義,Text
対義・漆黒,純白,,対義,Text
対義・固定,変動,,対義,Text
対義・繁栄,衰微,,対義,Text
対義・停頓,進展,,対義,Text
対義・飢餓,飽食,,対義,Text
対義・熱烈,冷静,,対義,Text
対義・古豪,新鋭,,対義,Text
対義・明瞭,曖昧,,対義,Text
対義・購入,販売,,対義,Text
対義・語幹,語尾,,対義,Text
対義・分析,総合,,対義,Text
対義・享楽,禁欲,,対義,Text
対義・未開,文明,,対義,Text
対義・往路,帰路,,対義,Text
対義・栄転,左遷,,対義,Text
対義・断念,執着,,対義,Text
対義・愛護,虐待,,対義,Text
対義・廃止,存続,,対義,Text
対義・原則,例外,,対義,Text
対義・酷評,賛辞,,対義,Text
対義・拙劣,巧妙,,対義,Text
対義・連続,断続,,対義,Text
対義・概略,委細,,対義,Text
対義・懲罰,褒賞,,対義,Text
対義・善良,邪悪,,対義,Text
対義・疎遠,親密,,対義,Text
対義・釈放,検挙,,対義,Text
対義・祝賀,哀悼,,対義,Text
対義・事実,虚構,,対義,Text
対義・追加,削除,,対義,Text
対義・浮上,沈降,,対義,Text
対義・無口,多弁,,対義,Text
対義・拒絶,承諾,,対義,Text
対義・下賜,献上,,対義,Text
対義・概要,詳細,,対義,Text
対義・撤退,進出,,対義,Text
対義・裕福,貧乏,,対義,Text
対義・匿名,記名,,対義,Text
対義・侮辱,尊敬,,対義,Text
対義・絶賛,酷評,,対義,Text
類義・提起,発議,,類義,Text
類義・換気,通風,,類義,Text
類義・拠点,基地,,類義,Text
類義・勾配,傾斜,,類義,Text
類義・幽閉,監禁,,類義,Text
類義・隆盛,繁栄,,類義,Text
類義・息災,無事,,類義,Text
類義・機嫌,気分,,類義,Text
類義・次第,順序,,類義,Text
類義・専念,没頭,,類義,Text
類義・威嚇,脅迫,,類義,Text
類義・氾濫,洪水,,類義,Text
類義・畏敬,尊敬,,類義,Text
類義・諧和,協調,,類義,Text
類義・勘弁,堪忍,,類義,Text
類義・浴槽,湯船,,類義,Text
類義・溺愛,盲愛,,類義,Text
