Question,Answers,Comment,Instructions,Render as
"__畠物__の出来が良い。
畑でできる物。野菜類。","はたもの,はたけもの",畑でできる物。野菜類。,読み方をご入力ください (訓),Text
"__紅蓮__の焔が夜空を焦がす。
燃え盛る炎の色のたとえ。紅色の蓮(はす)の花。紅蓮華(ぐれんげ)。",ぐれん,燃え盛る炎の色のたとえ。紅色の蓮(はす)の花。紅蓮華(ぐれんげ)。,読み方をご入力ください (音),Text
"箕で穀物を__簸__る。
箕で穀物をあおって、くずを除き去る。",ひ,箕で穀物をあおって、くずを除き去る。,読み方をご入力ください (訓),Text
"山の__分水嶺__を越える。
事の方向性が決まる分かれ目のたとえ。",ぶんすいれい,事の方向性が決まる分かれ目のたとえ。,読み方をご入力ください (音),Text
"相手を__蔑__ろにした態度だ。
そのものの存在を無視する。ないがしろにする。あなどる。",ないがし,そのものの存在を無視する。ないがしろにする。あなどる。,読み方をご入力ください (訓),Text
"都の__巽__に住んでいる。
辰と巳との中間の方角。南東。",たつみ,辰と巳との中間の方角。南東。,読み方をご入力ください (訓),Text
"計量器の__度__を正確に読む。
「目盛り」の意。",めもり,「目盛り」の意。,読み方をご入力ください (訓),Text
"平成２８年の干支は__丙申__である。
子:ね 丑:うし 寅:とら 卯:う 辰:たつ 巳:み 午:うま 未:ひつじ 申:さる 酉:とり 戌:いぬ 亥:い 甲:きのえ 乙:きのと 丙:ひのえ 丁:ひのと 戊:つちのえ 己:つちのと 庚:かのえ 辛:かのと 壬:みずのえ 癸:みずのと",ひのえさる,子:ね 丑:うし 寅:とら 卯:う 辰:たつ 巳:み 午:うま 未:ひつじ 申:さる 酉:とり 戌:いぬ 亥:い 甲:きのえ 乙:きのと 丙:ひのえ 丁:ひのと 戊:つちのえ 己:つちのと 庚:かのえ 辛:かのと 壬:みずのえ 癸:みずのと,読み方をご入力ください (訓),Text
"夕涼みの浴衣姿が__艶__かしい。
姿やしぐさが色っぽい。あだっぽい。",なまめ,姿やしぐさが色っぽい。あだっぽい。,読み方をご入力ください (訓),Text
"__沃__えた一画を譲ることにした。
地味(ちみ)が豊かになる。肥える。",こ,地味(ちみ)が豊かになる。肥える。,読み方をご入力ください (訓),Text
"__頗__る元気な小馬だ。
普通のまたは予想した程度を越えて。たいそう。大いに。",すこぶ,普通のまたは予想した程度を越えて。たいそう。大いに。,読み方をご入力ください (訓),Text
"昔の友の__凋残__の姿を見た。
すっかり衰えること。おちぶれること。",ちょうざん,すっかり衰えること。おちぶれること。,読み方をご入力ください (音),Text
"応接は__鄭重__を極めた。
礼儀正しく、手厚いこと。",ていちょう,礼儀正しく、手厚いこと。,読み方をご入力ください (音),Text
"色とりどりの__鳴禽__を飼う。
よくさえずる鳥。よい声で鳴く鳥。",めいきん,よくさえずる鳥。よい声で鳴く鳥。,読み方をご入力ください (音),Text
"__頸椎__を痛めて通院している。
哺乳類の脊柱のうち、頸部の7個の椎骨。",けいつい,哺乳類の脊柱のうち、頸部の7個の椎骨。,読み方をご入力ください (音),Text
"民を愛する王の国は__彊__し。
「強い」意。",つよ,「強い」意。,読み方をご入力ください (訓),Text
"へそくりを__叩__いて買った。
打ち払う。ほこりなどをたたいて払う。持っている金を使い尽くす。",はた,打ち払う。ほこりなどをたたいて払う。持っている金を使い尽くす。,読み方をご入力ください (訓),Text
"まさに上官を__揖拝__すべし。
朝廷や神道における敬礼動作の名称で、辞儀、会釈にあたる作法。",ゆうはい,朝廷や神道における敬礼動作の名称で、辞儀、会釈にあたる作法。,読み方をご入力ください (音),Text
"向こうに席を__設__えています。
こしらえ設ける。備えつける。",しつら,こしらえ設ける。備えつける。,読み方をご入力ください (訓),Text
"料理に__野蒜__を使う。
ヒガンバナ科ネギ亜科ネギ属の多年草。",のびる,ヒガンバナ科ネギ亜科ネギ属の多年草。,読み方をご入力ください (訓),Text
"広い__杏林__から多くの実を収穫する。
杏(あんず)の林。",きょうりん,杏(あんず)の林。,読み方をご入力ください (音),Text
