Question,Answers,Comment,Instructions,Render as
器用な彼は何でもそつなくこなすが、（　）で役に立たない。,鼯鼠五技にして窮す,器用な彼は何でもそつなくこなすが、__鼯鼠五技にして窮す__で役に立たない。,Type the reading!,Text
資格はたくさん持っているようだが、（　）だな。資格趣味はこの会社に必要ないよ。,鼯鼠五技にして窮す,資格はたくさん持っているようだが、__鼯鼠五技にして窮す__だな。資格趣味はこの会社に必要ないよ。,Type the reading!,Text
一芸に秀でないと、（　）となる。,鼯鼠五技にして窮す,一芸に秀でないと、__鼯鼠五技にして窮す__となる。,Type the reading!,Text
色んなことができても自慢にならない。（　）というから、一つのことを極めた方が良い。,鼯鼠五技にして窮す,色んなことができても自慢にならない。__鼯鼠五技にして窮す__というから、一つのことを極めた方が良い。,Type the reading!,Text
（　）から、いろんなことができなくてもいい。一つでいいから世界で戦える能力を磨けば仕事に困らない。,鼯鼠五技にして窮す,__鼯鼠五技にして窮す__から、いろんなことができなくてもいい。一つでいいから世界で戦える能力を磨けば仕事に困らない。,Type the reading!,Text
（　）というけれど、彼女が会社を裏切ったなんて信じられない。,"鱣は蛇に似たり,蚕は蠋に似たり",__鱣は蛇に似たり、蚕は蠋に似たり__というけれど、彼女が会社を裏切ったなんて信じられない。,Type the reading!,Text
いつもニコニコしいている彼が、まさか事件を起こしていたなんて、（　）ということか。,"鱣は蛇に似たり,蚕は蠋に似たり",いつもニコニコしいている彼が、まさか事件を起こしていたなんて、__鱣は蛇に似たり、蚕は蠋に似たり__ということか。,Type the reading!,Text
いくら大きな利益があるといっても、そんなことはできないと断った。引き受けるなんて、（　）ということだろう。,"鱣は蛇に似たり,蚕は蠋に似たり",いくら大きな利益があるといっても、そんなことはできないと断った。引き受けるなんて、__鱣は蛇に似たり、蚕は蠋に似たり__ということだろう。,Type the reading!,Text
（　）というが、彼が加担していたとは思いもよらなかった。,"鱣は蛇に似たり,蚕は蠋に似たり",__鱣は蛇に似たり、蚕は蠋に似たり__というが、彼が加担していたとは思いもよらなかった。,Type the reading!,Text
子供たちのやる小規模な劇だが、（　）というから体裁をととのえれば本格的に見える。,鱓でも尾頭つき,子供たちのやる小規模な劇だが、__鱓でも尾頭つき__というから体裁をととのえれば本格的に見える。,Type the reading!,Text
小さなクッキー缶だが（　）のように、缶のデザインにこだわることでバズった。,鱓でも尾頭つき,小さなクッキー缶だが__鱓でも尾頭つき__のように、缶のデザインにこだわることでバズった。,Type the reading!,Text
ただののり弁でもきちんと包めば、（　）となる。,鱓でも尾頭つき,ただののり弁でもきちんと包めば、__鱓でも尾頭つき__となる。,Type the reading!,Text
（　）といわれるので、体裁をととのえ立派そうな論文に仕上げた。,鱓でも尾頭つき,__鱓でも尾頭つき__といわれるので、体裁をととのえ立派そうな論文に仕上げた。,Type the reading!,Text
内容はさておいて、見かけを整えれば（　）で立派になる。,鱓でも尾頭つき,内容はさておいて、見かけを整えれば__鱓でも尾頭つき__で立派になる。,Type the reading!,Text
（　）というから、焦らずその時がくるのを待つ。,鎡基ありといえども時を待つに如かず,__鎡基ありといえども時を待つに如かず__というから、焦らずその時がくるのを待つ。,Type the reading!,Text
才能だけじゃ成功できない。（　）といい、タイミングも大事なんだ。,鎡基ありといえども時を待つに如かず,才能だけじゃ成功できない。__鎡基ありといえども時を待つに如かず__といい、タイミングも大事なんだ。,Type the reading!,Text
能力があっても運を味方につけないと、（　）だ。,鎡基ありといえども時を待つに如かず,能力があっても運を味方につけないと、__鎡基ありといえども時を待つに如かず__だ。,Type the reading!,Text
成功するには（　）といい、時機を見極めなければいけない。,鎡基ありといえども時を待つに如かず,成功するには__鎡基ありといえども時を待つに如かず__といい、時機を見極めなければいけない。,Type the reading!,Text
困難な道でも、（　）という。諦めなければ夢はいつか叶う。,跬歩して休まざれば跛鼈も千里,困難な道でも、__跬歩して休まざれば跛鼈も千里__という。諦めなければ夢はいつか叶う。,Type the reading!,Text
（　）だから、（　）ではなく毎日コツコツ勉強することが大事だ。,跬歩して休まざれば跛鼈も千里,__跬歩して休まざれば跛鼈も千里__だから、__一夜漬け__ではなく毎日コツコツ勉強することが大事だ。,Type the reading!,Text
