Question,Answers,Comment,Instructions,Render as
面倒,めんどう,,読みを入力してください,Text
普段,ふだん,,読みを入力してください,Text
無駄,むだ,,読みを入力してください,Text
馬鹿,ばか,,読みを入力してください,Text
真面目,まじめ,,読みを入力してください,Text
味方,みかた,,読みを入力してください,Text
素敵,すてき,,読みを入力してください,Text
怪我,けが,,読みを入力してください,Text
時計,とけい,,読みを入力してください,Text
試合,しあい,,読みを入力してください,Text
無茶,むちゃ,,読みを入力してください,Text
布団,ふとん,,読みを入力してください,Text
充分,じゅうぶん,,読みを入力してください,Text
無理矢理,むりやり,,読みを入力してください,Text
可哀想,かわいそう,,読みを入力してください,Text
思惑,おもわく,,読みを入力してください,Text
心地,ここち,,読みを入力してください,Text
堪能,たんのう,,読みを入力してください,Text
十一,じゅういち,,読みを入力してください,Text
甲斐,かい,,読みを入力してください,Text
丁度,ちょうど,,読みを入力してください,Text
缶,かん,,読みを入力してください,Text
無茶苦茶,むちゃくちゃ,,読みを入力してください,Text
生憎,あいにく,,読みを入力してください,Text
滅茶苦茶,めちゃくちゃ,,読みを入力してください,Text
呑気,のんき,,読みを入力してください,Text
野暮,やぼ,,読みを入力してください,Text
阿呆,あほ,,読みを入力してください,Text
野次馬,やじうま,,読みを入力してください,Text
寿司,すし,,読みを入力してください,Text
日和,ひより,,読みを入力してください,Text
見世物,みせもの,,読みを入力してください,Text
無闇,むやみ,,読みを入力してください,Text
見栄,みえ,,読みを入力してください,Text
滅多,めった,,読みを入力してください,Text
背広,せびろ,,読みを入力してください,Text
甘味,あまみ,,読みを入力してください,Text
暢気,のんき,,読みを入力してください,Text
旨味,うまみ,,読みを入力してください,Text
珈琲,コーヒー,,読みを入力してください,Text
垢,アカ,,読みを入力してください,Text
呉,ご,,読みを入力してください,Text
可哀相,かわいそう,,読みを入力してください,Text
野良,のら,,読みを入力してください,Text
薄目,うすめ,,読みを入力してください,Text
甲羅,こうら,,読みを入力してください,Text
威,おどし,,読みを入力してください,Text
苦味,にがみ,,読みを入力してください,Text
出鱈目,でたらめ,,読みを入力してください,Text
深,み,,読みを入力してください,Text
美,み,,読みを入力してください,Text
無鉄砲,むてっぽう,,読みを入力してください,Text
莫迦,ばか,,読みを入力してください,Text
弱味,よわみ,,読みを入力してください,Text
色味,いろみ,,読みを入力してください,Text
有耶無耶,うやむや,,読みを入力してください,Text
倶楽部,クラブ,,読みを入力してください,Text
漆喰,しっくい,,読みを入力してください,Text
徳利,とっくり,,読みを入力してください,Text
啖呵,たんか,,読みを入力してください,Text
面白味,おもしろみ,,読みを入力してください,Text
御存知,ごぞんじ,,読みを入力してください,Text
詮,せん,,読みを入力してください,Text
野次,やじ,,読みを入力してください,Text
囲炉裏,いろり,,読みを入力してください,Text
満更,まんざら,,読みを入力してください,Text
凄味,すごみ,,読みを入力してください,Text
毒味,どくみ,,読みを入力してください,Text
愚図,ぐず,,読みを入力してください,Text
面妖,めんよう,,読みを入力してください,Text
柄杓,ひしゃく,,読みを入力してください,Text
無暗,むやみ,,読みを入力してください,Text
田圃,たんぼ,,読みを入力してください,Text
襦袢,じゅばん,,読みを入力してください,Text
浪漫,ろうまん,,読みを入力してください,Text
奇天烈,きてれつ,,読みを入力してください,Text
仕合,しあい,,読みを入力してください,Text
中味,なかみ,,読みを入力してください,Text
合羽,かっぱ,,読みを入力してください,Text
朋輩,ほうばい,,読みを入力してください,Text
押忍,"おっす,おす",,読みを入力してください,Text
仏蘭西,フランス,,読みを入力してください,Text
判子,はんこ,,読みを入力してください,Text
