Question,Answers,Comment,Instructions,Render as
日本全国を__モウラ__する。,網羅,日本全国を__網羅__する。,漢字を入力してください,Text
医師に__ショホウセン__を書いてもらう。,処方箋,医師に__処方箋__を書いてもらう。,漢字を入力してください,Text
ダムの__カッスイ__で水不足が深刻だ。,渇水,ダムの__渇水__で水不足が深刻だ。,漢字を入力してください,Text
日本各地を__ルロウ__する。,流浪,日本各地を__流浪__する。,漢字を入力してください,Text
財界と政界の__ユチャク__は問題だ。,癒着,財界と政界の__癒着__は問題だ。,漢字を入力してください,Text
家事を手伝いお__ダチン__をねだる。,駄賃,家事を手伝いお__駄賃__をねだる。,漢字を入力してください,Text
__フウリン__は夏の風物詩だ,風鈴,__風鈴__は夏の風物詩だ,漢字を入力してください,Text
洗濯には__ナンスイ__が適している。,軟水,洗濯には__軟水__が適している。,漢字を入力してください,Text
__ジミ__に富む料理,滋味,__滋味__に富む料理,漢字を入力してください,Text
領土を__ヘンカン__する,返還,領土を__返還__する,漢字を入力してください,Text
スズメバチが__エイソウ__する,営巣,スズメバチが__営巣__する,漢字を入力してください,Text
交渉が__ダケツ__した。,妥結,交渉が__妥結__した。,漢字を入力してください,Text
惨劇を__ニョジツ__に物語っている映像だ。,如実,惨劇を__如実__に物語っている映像だ。,漢字を入力してください,Text
大切な資料が__サンイツ__した。,散逸,大切な資料が__散逸__した。,漢字を入力してください,Text
職員の__ショグウ__改善を求める。,処遇,職員の__処遇__改善を求める。,漢字を入力してください,Text
自宅横に事務所を__ヘイセツ__する,併設,自宅横に事務所を__併設__する,漢字を入力してください,Text
テーブルに食事を__ハイゼン__する,配膳,テーブルに食事を__配膳__する,漢字を入力してください,Text
競争相手に__イッシ__を報いる。,一矢,競争相手に__一矢__を報いる。,漢字を入力してください,Text
__ミケン__にしわを寄せる,眉間,__眉間__にしわを寄せる,漢字を入力してください,Text
あなたの座右の__メイ__を教えてください。,銘,あなたの座右の__銘__を教えてください。,漢字を入力してください,Text
__カッコントウ__を飲む。,葛根湯,__葛根湯__を飲む。,漢字を入力してください,Text
__センバヅル__を折る。,千羽鶴,__千羽鶴__を折る。,漢字を入力してください,Text
長年の__オンネン__を晴らす,怨念,長年の__怨念__を晴らす,漢字を入力してください,Text
__ゴウガン__な性格をしている。,傲岸,__傲岸__な性格をしている。,漢字を入力してください,Text
__シモバシラ__の上を歩く。,霜柱,__霜柱__の上を歩く。,漢字を入力してください,Text
金の__モウジャ__と呼ばれる。,亡者,金の__亡者__と呼ばれる。,漢字を入力してください,Text
趣味で__シギン__を練習する。,詩吟,趣味で__詩吟__を練習する。,漢字を入力してください,Text
首相__カンテイ__で会議が開かれた。,官邸,首相__官邸__で会議が開かれた。,漢字を入力してください,Text
小説を__ガンドク__する,玩読,小説を__玩読__する,漢字を入力してください,Text
輸送が__テイトン__している。,停頓,輸送が__停頓__している。,漢字を入力してください,Text
__カイキ__現象が起こる。,怪奇,__怪奇__現象が起こる。,漢字を入力してください,Text
__ワキバラ__が痛い,脇腹,__脇腹__が痛い,漢字を入力してください,Text
__イッコン__傾ける,一献,__一献__傾ける,漢字を入力してください,Text
__イバラキ__に転勤する,茨城,__茨城__に転勤する,漢字を入力してください,Text
__バゲン__を吐く,罵言,__罵言__を吐く,漢字を入力してください,Text
__ヨウホウジョウ__を経営する,養蜂場,__養蜂場__を経営する,漢字を入力してください,Text
債権を__ジョウト__する。,譲渡,債権を__譲渡__する。,漢字を入力してください,Text
__レイセツ__をもって接する,礼節,__礼節__をもって接する,漢字を入力してください,Text
人生を__テイカン__する。,諦観,人生を__諦観__する。,漢字を入力してください,Text
__ココウ__を脱する,虎口,__虎口__を脱する,漢字を入力してください,Text
扉を__セジョウ__する,施錠,扉を__施錠__する。,漢字を入力してください,Text
話に__イロツヤ__を添える,色艶,話に__色艶__を添える,漢字を入力してください,Text
めっきを__ハクリ__する。,剥離,めっきを__剥離__する。,漢字を入力してください,Text
今の生活はとても__ジュウジツ__している。,充実,今の生活はとても__充実__している。,漢字を入力してください,Text
債務を支払うように__トクソク__する。,督促,債務を支払うように__督促__する。,漢字を入力してください,Text
__ダッサク__した隊員,脱柵,__脱柵__した隊員,漢字を入力してください,Text
__レイテツ__な目。,冷徹,__冷徹__な目。,漢字を入力してください,Text
__オウゼン__たる憎悪を感じ始めた。,旺然,__旺然__たる憎悪を感じ始めた。,漢字を入力してください,Text
__カガミモチ__を飾る。,鏡餅,__鏡餅__を飾る。,漢字を入力してください,Text
その植物には__チカケイ__がある。,地下茎,その植物には__地下茎__がある。,漢字を入力してください,Text
