Question,Answers,Comment,Instructions,Render as
農民達は領主に反抗して__ホウキ__した。,蜂起,"農民達は領主に反抗して蜂起した。
責任を放棄する。",蜂起・放棄,Text
明日は地区大会の__ケッショウ__戦が行われる。,決勝,"明日は地区大会の決勝戦が行われる。
雪の結晶はとても小さい。",決勝・結晶,Text
多発している詐欺行為に対して注意を__カンキ__する。,喚起,"多発している詐欺行為に対して注意を喚起する。
暖房器具を使用する時は、定期的に窓を開け部屋を換気したほうが良い。",喚起・換気,Text
文章ではなく、__コウトウ__での説明のみであった。,口頭,"文章ではなく、口頭での説明のみであった。
台風被害により、穀物の価格が高騰している。",口頭・高騰,Text
大手企業の__サンカ__に入ることが決定した。,傘下,"大手企業の傘下に入ることが決定した。
ボランティア活動に参加する。",傘下・参加,Text
家宅捜索を行い証拠品を__オウシュウ__する。,押収,"家宅捜索を行い証拠品を押収する。
ボクシングの試合では激しいパンチの応酬が繰り広げられる。",押収・応酬,Text
日本の景気については__ラッカン__的な見通しを立てることはできない。,楽観,"日本の景気については楽観的な見通しを立てることはできない。
完成した絵手紙に落款を押す。",楽観・落款,Text
満月が__カゲン__の月へと変わる。,下弦,"満月が下弦の月へと変わる。
基準の下限を下回る数値。",下弦・下限,Text
金融会社と__ソガイ__和解の交渉を行う。,訴外,"金融会社と訴外和解の交渉を行う。
新規参入を阻害する。",訴外・阻害,Text
一般的にはそのように考えるのが__ダトウ__だ。,妥当,"一般的にはそのように考えるのが妥当だ。
打倒、強豪校！を目標に練習する。",妥当・打倒,Text
この絵は有名な画家の絵と__コクジ__している。,酷似,"この絵は有名な画家の絵と酷似している。
学校長による卒業式の告辞。",酷似・告辞,Text
落ち着くまでは事態を__セイカン__しよう。,静観,"落ち着くまでは事態を静観しよう。
溶接による製缶加工を行う。",静観・製缶,Text
両親の愛情に__ウ__えている。,飢,"両親の愛情に飢えている。
田植 (田植え）・稲刈りなどの農業を体験する。",飢・植,Text
担当者にその__ムネ__を伝える。,旨,"担当者にその旨を伝える。
台風の被害で十棟が倒壊した。",旨・棟,Text
清潔を保つために毎日__センジョウ__している。,洗浄,"清潔を保つために毎日洗浄している。
アメリカ軍の戦場での様子を取材した。",洗浄・戦場,Text
__チュウシン__よりお悔やみ申し上げます。,衷心,"衷心よりお悔やみ申し上げます。
状況を上司に注進する。",衷心・注進,Text
彼の__ホウヨウ__力には感心する。,包容,"彼の包容力には感心する。
握手と抱擁を交わす。",包容・抱擁,Text
現場に作業員を__ハケン__する。,派遣,"現場に作業員を派遣する。
地域の覇権をかけた戦い。",派遣・覇権,Text
東日本沖の太平洋底に存在する日本__カイコウ__。,海溝,"東日本沖の太平洋底に存在する日本海溝。
投稿された文章を改稿する。",海溝・改稿,Text
その提案には__シュコウ__できない。,首肯,"その提案には首肯できない。
飾り付けに趣向を凝らす。",首肯・趣向,Text
__ルイシン__課税制度導入に向けた協議が始まった。,累進,"累進課税制度導入に向けた協議が始まった。
少年野球の大会で塁審を担当した。",累進・塁審,Text
銀行から__ユウシ__を受ける。,融資,"銀行から融資を受ける。
有志を募って組織を結成する。",融資・有志,Text
画家になる夢を__テイネン__した。,諦念,"画家になる夢を諦念した。
昨年父は長年勤めた会社を定年退職した。",諦念・定年,Text
__ヒヨク__仕立てのコート。,比翼,"比翼仕立てのコート。
土地が肥沃で作物がよく実る。",比翼・肥沃,Text
手のひらに小さな__ハンテン__ができる。,斑点,"手のひらに小さな斑点ができる。
下落していた株価が午後から反転した。",斑点・反転,Text
容疑者の__シッソウ__により捜査は行き詰まった。,失踪,"容疑者の失踪により捜査は行き詰まった。
ゴールに向かって全力で疾走する。",失踪・疾走,Text
__セイサン__な事件現場。,凄惨,"凄惨な事件現場。
売れ過ぎて生産が追いつかない。",凄惨・生産,Text
__シュヨウ__を取り除く手術を受ける。,腫瘍,"腫瘍を取り除く手術を受ける。
物語の主要な人物。",腫瘍・主要,Text
相手の要求を__イッシュウ__する。,一蹴,"相手の要求を一蹴する。
ヨットで世界を一周する。",一蹴・一周,Text
__インセキ__関係による兄弟。,姻戚,"姻戚関係による兄弟。
社長が引責辞任すると発表した。",姻戚・引責,Text
__ショセン__そんなものだ。,所詮,"所詮そんなものだ。
初戦を白星で飾る。",所詮・初戦,Text
効果的な運動で__ソウシン__する。,痩身,"効果的な運動で痩身する。
悲しみのあまり喪心している。",痩身・喪心,Text
__ドウコウ__を開く目薬。,瞳孔,"瞳孔を開く目薬。
今後の動向に注意する。",瞳孔・動向,Text
上司が部下を__シッセキ__する。,叱責,"上司が部下を叱責する。
突然の失跡事件から一年が経過した。",叱責・失跡,Text
台風の影響で川が__ハンラン__する。,氾濫,"台風の影響で川が氾濫する。
政府に対する反乱を鎮める。",氾濫・反乱,Text
友人の__フホウ__に接する。,訃報,"友人の訃報に接する。
不法に入国した外国人。",訃報・不法,Text
堂々たる__フウボウ__。,風貌,"堂々たる風貌。
時計の風防ガラス。",風貌・風防,Text
部下を__トクレイ__する。,督励,"部下を督励する。
制限の緩和を特例として認める。",督励・特例,Text
__ケイチョウ__休暇を取る。,慶弔,"慶弔休暇を取る。
講義を傾聴した。",慶弔・傾聴,Text
父に__イッカツ__されてすぐに引き下がった。,一喝,"父に一喝されてすぐに引き下がった。
保険料を一括で支払った。",一喝・一括,Text
この仕事は季節による__ハンカン__の差が激しい。,繁閑,"この仕事は季節による繁閑の差が激しい。
自分勝手な行動で周囲の反感を買う。",繁閑・反感,Text
__カンゲン__よろしきを得る。,寛厳,"寛厳よろしきを得る。
利益の一部を客に還元する。",寛厳・還元,Text
